src,rel,dst,src_label,dst_label,row_id
93,catch,287,he,finger,678
577,place,576,0630 board saloner,orange,679
93,take,287,he,finger,680
578,attend,217,steward,vessel medic,681
64,clean,579,medic,ips finger,682
64,apply,580,medic,band aid,683
581,,582,ocm captain client hsea,container,684
583,esquerda,584,pequeno corte,em,685
6,save,7,life,rules,686
585,move,586,collaborators,metal tape,687
585,continue,587,collaborators,route,688
588,support,589,same,tape,689
588,push,590,same,tape pin,690
588,,591,same,pin,691
6,save,7,life,rules,692
80,occur,75,incident,issue,693
25,raise,75,ip,issue,694
386,notify,75,supervision,issue,695
25,see,592,ip,aider,696
93,feel,593,he,twinge,697
25,handle,594,ip,rollers,698
25,transport,52,ip,one,699
25,gain,595,ip,access,700
25,feel,314,ip,pain,701
25,feel,314,ip,pain,702
25,raise,48,ip,it,703
94,require,596,which,crouching,704
25,continue,112,ip,work,705
597,,416,conditions,effect,706
94,change,598,which,classification,707
6,save,7,life,rules,708
599,remove,600,forklift driver,alubox,709
376,hit,601,box,spinkler,710
284,trigger,602,we,alarm,711
93,hit,603,he,sprinkler,712
93,raise,604,he,aluminum box,713
48,hit,605,it,support beam,714
246,stand,80,i,incident,715
246,see,80,i,incident,716
93,start,606,he,to reverse,717
246,shout,436,i,stop,718
93,drag,603,he,sprinkler,719
116,receive,602,they,alarm,720
93,inform,607,he,me,721
246,,608,i,nr ,722
284,,609,we,water pressure,723
610,tell,611,portvakt,system,724
284,figure,611,we,system,725
93,,612,he,conversations,726
611,keep,613,system,restarting,727
284,go,48,we,it,728
284,stop,48,we,it,729
614,remain,611,tfmc operator,system,730
614,turn,611,tfmc operator,system,731
30,stop,48,that,it,732
246,call,79,i,him,733
246,update,79,i,him,734
284,,535,we,pressure,735
93,inform,607,he,me,736
246,remember,615,i,to take some pictures,737
610,speak,616,portvakt,information,738
610,get,616,portvakt,information,739
284,pump,121,we,water,740
284,collect,121,we,water,741
284,transport,48,we,it,742
611,turn,617,system,working system,743
284,will,617,we,working system,744
246,inform,79,i,him,745
284,wait,79,we,him,746
246,send,618,i,message,747
284,take,619,we,hoses,748
284,lock,620,we,building,749
116,,621,they,inspections,750
622,try,623,people,things,751
246,say,624,i,stop proceed,752
284,get,616,we,information,753
6,save,7,life,rules,754
50,set,474,technician,mandrel,755
474,drag,625,mandrel,degree turn,756
474,perform,625,mandrel,degree turn,757
474,drop,51,mandrel,pallet,758
118,activate,626,operator,trail,759
118,sound,627,operator,shock,760
118,feel,628,operator,gene,761
48,support,629,it,colleague,762
118,regain,3,operator,activity,763
630,support,629,remedies it,colleague,764
6,save,7,life,rules,765
287,impact,398,finger,piece,766
100,perceive,515,worker,movement,767
384,strike,631,hand,workpiece,768
100,wear,632,worker,ppe,769
100,notify,14,worker,supervisor,770
100,visit,242,worker,doctor,771
78,organise,310,who,operation,772
100,award,633,worker,leave,773
116,,255,they,contact,774
6,save,7,life,rules,775
634,carry,635,t stack,yetting,776
6,save,7,life,rules,777
636,attach,637,lines,using scaffold hooks,778
636,push,638,lines,using scaffold hooks poles,779
636,pull,639,lines,poles,780
640,catch,641,tag lines,riggers,781
642,,641,the,riggers,782
3,occur,4,activity,remote,783
6,save,7,life,rules,784
643,move,51,ie,pallet,785
643,finish,644,ie,shift,786
643,notice,645,ie,bit,787
643,come,314,ie,pain,788
643,notice,314,ie,pain,789
646,,48,what,it,790
6,save,7,life,rules,791
48,check,647,it,tank,792
48,read,648,it,130,793
649,know,189,consultant,truck,794
649,get,189,consultant,truck,795
116,fly,650,they,flashing,796
116,,650,they,flashing,797
564,have,651,crew,equalization issues,798
652,figure,189,everything,truck,799
564,clean,653,crew,mess,800
6,save,7,life,rules,801
461,jerk,654,car,barracks,802
461,hit,654,car,barracks,803
3,occur,27,activity,less,804
461,jerk,654,car,barracks,805
461,hit,654,car,barracks,806
6,save,7,life,rules,807
655,contact,23,site driver trailer,crate,808
6,save,7,life,rules,809
656,hit,657,outrigger,pipe insulation ytprod-23h,810
6,save,7,life,rules,811
118,go,658,operator,to retrieve crown plug,812
659,confirm,535,manometer easyview,pressure,813
660,hit,661,cp,jar,814
46,feel,662,employee,swelling,815
93,inform,607,he,me,816
93,return,663,he,rdv,817
93,take,663,he,rdv,818
46,wear,664,employee,eye glasses,819
93,inform,607,he,me,820
93,,665,he,post,821
6,save,7,life,rules,822
6,save,7,life,rules,823
6,save,17,life,rules bypassing obtain authorization,824
666,apply,667,pressure table,torque,825
666,cause,667,pressure table,torque,826
50,tighten,668,technician,bolts bolt break,827
284,,646,we,what,828
669,,328,person,flange,829
78,operate,670,who,torque equipment,830
48,lift,671,it,equipment,831
671,send,671,equipment,equipment,832
672,fall,30,cmrt cm,that,833
48,guarantee,30,it,that,834
6,save,673,life,rules verify isolation energy,835
6,save,7,life,rules,836
674,run,675,warehouse employee,truck driver,837
93,,30,he,that,838
6,save,7,life,rules,839
676,arrive,677,fire brigade,situation extraction,840
676,assess,678,fire brigade,situation,841
676,support,679,fire brigade,extraction,842
6,save,7,life,rules,843
232,lower,523,deck crew,block,844
680,instruct,253,rigging supervisor,crane operator,845
253,move,681,crane operator,crane,846
463,receive,682,investigation,nov data,847
284,,683,we,that wire,848
30,remind,118,that,operator,849
684,change,685,limit,ongoingreport,850
681,aux,686,crane,sheaves,851
6,save,7,life,rules,852
6,save,7,life,rules,853
687,respond,688,police,d&a screening,854
687,complete,688,police,d&a screening,855
6,save,7,life,rules,856
689,raise,690,complaints,members,857
691,emit,692,deep blue,smoke,858
691,testing,693,deep blue,avr system,859
692,last,694,smoke,gibdock vessel offence,860
692,attend,695,smoke,gibdock,861
692,visit,143,smoke,vessel,862
692,discuss,696,smoke,offence,863
6,save,7,life,rules,864
697,strike,698,approx roller bearing,t shackle,865
105,account,699,team,71,866
105,close,290,team,tensioner,867
105,squeeze,290,team,tensioner,868
700,take,351,commencing,place,869
701,arrange,702,construction team,removal,870
703,take,704,closure squeeze,place removal,871
93,feel,705,he,something shoulder,872
62,note,63,drops calculator,this,873
6,save,7,life,rules,874
6,save,7,life,rules,875
63,include,706,this,cutting,876
170,schedule,707,line,to be cut,877
708,identify,709,findings,bubbles,878
